2023-12-20 17:12:218 INFO  HomePage :82 - Enter Minimum Salary: [[ChromeDriver: chrome on windows (c10932afa8c32be7e86d2546c5e3f754)] -> xpath: //input[@id='salarymin']]
2023-12-20 17:12:401 INFO  HomePage :88 - Enter Maximum Salary: [[ChromeDriver: chrome on windows (c10932afa8c32be7e86d2546c5e3f754)] -> xpath: //input[@id='salarymax']]
2023-12-20 17:12:534 INFO  HomePage :82 - Enter Minimum Salary: [[ChromeDriver: chrome on windows (c10932afa8c32be7e86d2546c5e3f754)] -> xpath: //input[@id='salarymin']]
2023-12-20 17:12:645 INFO  HomePage :100 - Select Job Type: Permanent
2023-12-20 17:12:842 INFO  HomePage :106 - Click Find Jobs Button: [[ChromeDriver: chrome on windows (c10932afa8c32be7e86d2546c5e3f754)] -> xpath: //input[@id='hp-search-btn']]
2023-12-20 17:12:184 INFO  ResultPage :23 - Verifying Results Displayed: [[ChromeDriver: chrome on windows (c10932afa8c32be7e86d2546c5e3f754)] -> xpath: //h1[@class='search-header__title']]
2023-12-20 17:12:890 INFO  HomePage :54 - Accept All Cookies : 
2023-12-20 17:12:907 INFO  HomePage :59 - Entering Job Title : Tester
2023-12-20 17:12:480 INFO  HomePage :65 - Enter Location : Harrow
2023-12-20 17:12:629 INFO  HomePage :71 - Select Distance: [[ChromeDriver: chrome on windows (6de46f4ef4d221e172140f3f77d5db9c)] -> xpath: //select[@id='distance']]
2023-12-20 17:12:769 INFO  HomePage :76 - Click on More Search Options : [[ChromeDriver: chrome on windows (6de46f4ef4d221e172140f3f77d5db9c)] -> xpath: //button[@id='toggle-hp-search']]
2023-12-20 17:12:891 INFO  HomePage :82 - Enter Minimum Salary: [[ChromeDriver: chrome on windows (6de46f4ef4d221e172140f3f77d5db9c)] -> xpath: //input[@id='salarymin']]
2023-12-20 17:12:45 INFO  HomePage :88 - Enter Maximum Salary: [[ChromeDriver: chrome on windows (6de46f4ef4d221e172140f3f77d5db9c)] -> xpath: //input[@id='salarymax']]
2023-12-20 17:12:196 INFO  HomePage :82 - Enter Minimum Salary: [[ChromeDriver: chrome on windows (6de46f4ef4d221e172140f3f77d5db9c)] -> xpath: //input[@id='salarymin']]
2023-12-20 17:12:322 INFO  HomePage :100 - Select Job Type: Permanent
2023-12-20 17:12:526 INFO  HomePage :106 - Click Find Jobs Button: [[ChromeDriver: chrome on windows (6de46f4ef4d221e172140f3f77d5db9c)] -> xpath: //input[@id='hp-search-btn']]
2023-12-20 17:12:328 INFO  ResultPage :23 - Verifying Results Displayed: [[ChromeDriver: chrome on windows (6de46f4ef4d221e172140f3f77d5db9c)] -> xpath: //h1[@class='search-header__title']]
2023-12-20 17:12:549 INFO  HomePage :54 - Accept All Cookies : 
2023-12-20 17:12:553 INFO  HomePage :59 - Entering Job Title : Tester
2023-12-20 17:12:63 INFO  HomePage :65 - Enter Location : London
2023-12-20 17:12:224 INFO  HomePage :71 - Select Distance: [[ChromeDriver: chrome on windows (08953b7401048e355bc88cd1d038c6e3)] -> xpath: //select[@id='distance']]
2023-12-20 17:12:335 INFO  HomePage :76 - Click on More Search Options : [[ChromeDriver: chrome on windows (08953b7401048e355bc88cd1d038c6e3)] -> xpath: //button[@id='toggle-hp-search']]
2023-12-20 17:12:444 INFO  HomePage :82 - Enter Minimum Salary: [[ChromeDriver: chrome on windows (08953b7401048e355bc88cd1d038c6e3)] -> xpath: //input[@id='salarymin']]
2023-12-20 17:12:625 INFO  HomePage :88 - Enter Maximum Salary: [[ChromeDriver: chrome on windows (08953b7401048e355bc88cd1d038c6e3)] -> xpath: //input[@id='salarymax']]
2023-12-20 17:12:760 INFO  HomePage :82 - Enter Minimum Salary: [[ChromeDriver: chrome on windows (08953b7401048e355bc88cd1d038c6e3)] -> xpath: //input[@id='salarymin']]
2023-12-20 17:12:878 INFO  HomePage :100 - Select Job Type: Permanent
2023-12-20 17:12:86 INFO  HomePage :106 - Click Find Jobs Button: [[ChromeDriver: chrome on windows (08953b7401048e355bc88cd1d038c6e3)] -> xpath: //input[@id='hp-search-btn']]
2023-12-20 17:12:834 INFO  ResultPage :23 - Verifying Results Displayed: [[ChromeDriver: chrome on windows (08953b7401048e355bc88cd1d038c6e3)] -> xpath: //h1[@class='search-header__title']]
